attempt_num,board_number,board_label,screen_type,board_score,running_total,death,death_num,lives,frame,bonus_timer
123,118,118,Grey,25600,2485000,false,,32,417445,
124,119,119,Gold,14000,2499000,false,,32,420056,
125,120,120,Blue,25600,2524600,false,,32,424132,
126,121,121,Grey,27600,2552200,false,,32,427928,
127,122,122,Gold,13700,2565900,false,,32,430551,
128,123,123,Blue,25700,2591600,false,,32,434640,
129,124,124,Grey,27800,2619400,false,,32,438336,
130,125,125,Gold,13800,2633200,false,,32,441015,
131,126,126,Blue,24300,2657500,false,,32,445928,
132,127,127,Grey,27900,2685400,false,,32,449614,
133,128,128,Gold,12900,2698300,false,,32,453303,
135,129,129,Blue,7800,2706100,true,6,31,455640,4900
135,129,129,Blue,20500,2726600,false,,31,458345,
136,130,130,Grey,27100,2753700,false,,31,462406,
137,131,131,Gold,14700,2768400,false,,31,464661,
138,132,132,Blue,15000,2783400,false,,31,465730,
139,133,133,Grey,28300,2811700,false,,31,469210,
140,134,134,Gold,13000,2824700,false,,31,472749,
141,135,135,Blue,24800,2849500,false,,31,477246,
142,136,136,Grey,26900,2876400,false,,31,481419,
143,137,137,Gold,14000,2890400,false,,31,483732,
144,138,138,Blue,25500,2915900,false,,31,487927,
145,139,139,Grey,27900,2943800,false,,31,491590,
146,140,140,Gold,13800,2957600,false,,31,494311,
147,141,141,Blue,25700,2983300,false,,31,498378,
148,142,142,Grey,27800,3011100,false,,31,502039,
149,143,143,Gold,13900,3025000,false,,31,504708,
150,144,144,Blue,24400,3049400,false,,31,509384,
151,145,145,Grey,28200,3077600,false,,31,512866,
152,146,146,Gold,13700,3091300,false,,31,515897,
153,147,147,Blue,24900,3116200,false,,31,520381,
154,148,148,Grey,27800,3144000,false,,31,524094,
155,149,149,Gold,13600,3157600,false,,31,526911,
156,150,150,Blue,25500,3183100,false,,31,531126,
157,151,151,Grey,27200,3210300,false,,31,535145,
158,152,152,Gold,13100,3223400,false,,31,538472,
159,153,153,Blue,25600,3249000,false,,31,542553,
160,154,154,Grey,26400,3275400,false,,31,546927,
161,155,155,Gold,13800,3289200,false,,31,549628,
162,156,156,Blue,25500,3314700,false,,31,553739,
163,157,157,Grey,27800,3342500,false,,31,557401,
164,158,158,Gold,13200,3355700,false,,31,560832,
165,159,159,Blue,24000,3379700,false,,31,565914,
166,160,160,Blue,24300,3404000,false,,31,570968,
167,161,161,Blue,25200,3429200,false,,31,575293,
168,162,162,Blue,26000,3455200,false,,31,579256,
169,163,163,Blue,25200,3480400,false,,31,583541,
170,164,164,Blue,25500,3505900,false,,31,587703,
171,165,165,Blue,24300,3530200,false,,31,592867,
172,166,166,Blue,24300,3554500,false,,31,597944,
173,167,167,Blue,25600,3580100,false,,31,602080,
174,168,168,Blue,25600,3605700,false,,31,606108,
175,169,169,Blue,25900,3631600,false,,31,610118,
176,170,170,Blue,24300,3655900,false,,31,614860,
177,171,171,Blue,24300,3680200,false,,31,619826,
178,172,172,Blue,25700,3705900,false,,31,623897,
179,173,173,Blue,26000,3731900,false,,31,627844,
180,174,174,Blue,26000,3757900,false,,31,631777,
181,175,175,Blue,25700,3783600,false,,31,635866,
182,176,176,Blue,25500,3809100,false,,31,640093,
183,177,177,Blue,25500,3834600,false,,31,644330,
184,178,178,Blue,26700,3861300,false,,31,647942,
185,179,179,Blue,25900,3887200,false,,31,651943,
186,180,180,Blue,25500,3912700,false,,31,656140,
187,181,181,Blue,25700,3938400,false,,31,660141,
188,182,182,Blue,25200,3963600,false,,31,664479,
189,183,183,Blue,24300,3987900,false,,31,669372,
190,184,184,Blue,24300,4012200,false,,31,674345,
191,185,185,Blue,25700,4037900,false,,31,678464,
192,186,186,Blue,24400,4062300,false,,31,683184,
193,187,187,Blue,26500,4088800,false,,31,686903,
194,188,188,Blue,25000,4113800,false,,31,691351,
195,189,189,Blue,24800,4138600,false,,31,695774,
196,190,190,Blue,25200,4163800,false,,31,700097,
197,191,191,Blue,25500,4189300,false,,31,704212,
198,192,192,Blue,25700,4215000,false,,31,708277,
199,193,193,Blue,25900,4240900,false,,31,712222,
200,194,194,Blue,26200,4267100,false,,31,715996,
201,195,195,Blue,25400,4292500,false,,31,720195,
202,196,196,Blue,24300,4316800,false,,31,725140,
203,197,197,Blue,25500,4342300,false,,31,729378,
204,198,198,Blue,25600,4367900,false,,31,733392,
205,199,199,Blue,25700,4393600,false,,31,737529,
206,200,200,Blue,25400,4419000,false,,31,741723,
207,201,201,Blue,25500,4444500,false,,31,745947,
208,202,202,Blue,26100,4470600,false,,31,749873,
209,203,203,Blue,26200,4496800,false,,31,753729,
210,204,204,Blue,25500,4522300,false,,31,757864,
211,205,205,Blue,25700,4548000,false,,31,761898,
212,206,206,Blue,24900,4572900,false,,31,766344,
213,207,207,Blue,24700,4597600,false,,31,770984,
214,208,208,Blue,25500,4623100,false,,31,775165,
216,209,209,Blue,15300,4638400,true,7,30,778668,2500
216,209,209,Blue,15900,4654300,false,,30,779915,
218,210,210,Blue,13900,4668200,true,8,29,783554,2300
218,210,210,Blue,17300,4685500,false,,29,784853,
219,211,211,Blue,25700,4711200,false,,29,788846,
220,212,212,Blue,15000,4726200,false,,29,789903,
221,213,213,Blue,25500,4751700,false,,29,794026,
222,214,214,Blue,25700,4777400,false,,29,798107,
224,215,215,Blue,14900,4792300,true,9,28,801597,2600
224,215,215,Blue,15900,4808200,false,,28,803048,
225,216,216,Blue,25200,4833400,false,,28,807332,
226,217,217,Blue,25900,4859300,false,,28,811374,
227,218,218,Blue,25400,4884700,false,,28,815584,
228,219,219,Blue,24400,4909100,false,,28,820217,
229,220,220,Blue,15500,4924600,false,,28,821325,
230,221,221,Blue,25500,4950100,false,,28,825533,
231,222,222,Blue,26200,4976300,false,,28,829442,
232,223,223,Blue,25500,5001800,false,,28,833610,
233,224,224,Blue,25400,5027200,false,,28,837794,
234,225,225,Blue,24700,5051900,false,,28,842458,
235,226,226,Blue,25000,5076900,false,,28,846868,
236,227,227,Blue,25100,5102000,false,,28,851227,
